id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,lat,long,observe_timestamp,filename
61342252,2017/04/09 6:24 AM EDT,2017-04-09,2017-04-09 10:24:00 UTC,Eastern Time (US & Canada),148169,jbourget,2020-09-30 22:08:29 UTC,2020-10-03 21:30:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/61342252,https://inaturalist-open-data.s3.amazonaws.com/photos/98139719/medium.jpeg,,,,2,0,False,,"England, GB",51.4906747742,-0.4937626181,,26196,,obscured,True,,,Milvus milvus,Milvus milvus,Rotmilan,Aves,5267,51.4906747742,-0.4937626181,2017-04-09,photo_131.png
61371234,2020/09/29 3:02 PM BST,2020-09-29,2020-09-29 14:02:00 UTC,London,1029261,birdmanuk68,2020-10-01 05:36:03 UTC,2020-10-11 09:39:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/61371234,https://inaturalist-open-data.s3.amazonaws.com/photos/98199536/medium.jpg,,"Raptors, Woodoaks Farm, Hertfordshire, UK",,4,0,False,,"England, GB",51.6115503853,-0.5717603105,8.0,26164,,obscured,True,,,Красный коршун,Milvus milvus,Rotmilan,Aves,5267,51.6115503853,-0.5717603105,2020-09-29,photo_132.png
62282718,Sat Oct 10 2020 17:42:59 GMT+0100 (GMT+1),2020-10-10,2020-10-10 15:42:59 UTC,Amsterdam,3401157,derrytaylor,2020-10-11 10:07:50 UTC,2020-10-12 11:25:18 UTC,research,,https://www.inaturalist.org/observations/62282718,https://static.inaturalist.org/photos/99772747/medium.jpg,,,,1,0,False,3.0,"England, GB",51.8425856309,-0.9551935124,5.0,26132,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.8425856309,-0.9551935124,2020-10-10,photo_133.png
62283048,Mon Oct 05 2020 09:13:17 GMT+0100 (GMT+1),2020-10-05,2020-10-05 07:13:17 UTC,Amsterdam,3565805,thebexsweet,2020-10-11 10:16:35 UTC,2021-04-25 10:01:33 UTC,research,,https://www.inaturalist.org/observations/62283048,https://static.inaturalist.org/photos/99773329/medium.jpg,,,,1,0,False,3.0,"England, GB",51.698030334,-0.4509369841,34.0,26164,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.698030334,-0.4509369841,2020-10-05,photo_134.png
62301929,Sun Oct 11 2020 15:01:29 GMT+0100 (GMT+1),2020-10-11,2020-10-11 13:01:29 UTC,Amsterdam,1145600,eden12,2020-10-11 15:02:06 UTC,2020-10-13 14:53:59 UTC,research,,https://www.inaturalist.org/observations/62301929,https://static.inaturalist.org/photos/99804980/medium.jpg,,,,3,0,False,3.0,"England, GB",51.6609262522,-0.6078654164,385.0,26164,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.6609262522,-0.6078654164,2020-10-11,photo_135.png
63541957,2013/08/30 12:01 PM BST,2013-08-30,2013-08-30 11:01:00 UTC,London,2570306,joeholt,2020-10-26 02:17:52 UTC,2020-10-26 05:20:13 UTC,research,,https://www.inaturalist.org/observations/63541957,https://inaturalist-open-data.s3.amazonaws.com/photos/101986114/medium.jpeg,,, ,1,0,False,,"Oxfordshire, England, GB",51.6048579443,-1.0690676023,122.0,26164,,obscured,True,,,Rotmilan,Milvus milvus,Rotmilan,Aves,5267,51.6048579443,-1.0690676023,2013-08-30,photo_136.png
64230030,Thu Nov 05 2020 11:02:49 GMT+0000 (GMT),2020-11-05,2020-11-05 11:02:49 UTC,UTC,2635370,donalmcgurk,2020-11-05 11:03:56 UTC,2020-11-05 12:33:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/64230030,https://inaturalist-open-data.s3.amazonaws.com/photos/103228895/medium.jpg,,,,1,0,False,3.0,"Oxfordshire, England, GB",51.7081591857,-1.103419732,65.0,26164,,obscured,True,,,Rotmilan,Milvus milvus,Rotmilan,Aves,5267,51.7081591857,-1.103419732,2020-11-05,photo_137.png
64250050,2020/11/03 2:07 PM GMT,2020-11-03,2020-11-03 14:07:00 UTC,London,1029261,birdmanuk68,2020-11-05 18:45:17 UTC,2020-11-14 09:20:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/64250050,https://inaturalist-open-data.s3.amazonaws.com/photos/103263258/medium.jpg,,,,5,0,False,,"England, GB",51.6416369789,-0.64520227,61.0,26164,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.6416369789,-0.64520227,2020-11-03,photo_138.png
64262974,2017/05/29 10:00 AM BST,2017-05-29,2017-05-29 09:00:00 UTC,Edinburgh,3793572,scompeti,2020-11-05 22:04:46 UTC,2020-11-08 11:07:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/64262974,https://inaturalist-open-data.s3.amazonaws.com/photos/103286707/medium.jpeg,,,,3,0,False,,"Oxfordshire, England, GB",51.8426446971,-1.1155396267,172.0,26132,,obscured,True,,,Rode wouw,Milvus milvus,Rotmilan,Aves,5267,51.8426446971,-1.1155396267,2017-05-29,photo_139.png
65343903,2020-11-21 3:11:27 PM GMT+00:00,2020-11-21,2020-11-21 15:11:27 UTC,Edinburgh,3130050,nedwards86,2020-11-21 18:00:06 UTC,2020-11-23 20:00:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/65343903,https://inaturalist-open-data.s3.amazonaws.com/photos/105154202/medium.jpeg,,,,2,0,False,2.0,"England, GB",51.8222326557,-0.4635823735,1344.0,26132,,obscured,True,gps,gps,Rotmilan,Milvus milvus,Rotmilan,Aves,5267,51.8222326557,-0.4635823735,2020-11-21,photo_140.png
